"id","amount","length","frequency","grade"
2404,2e+05,12,"Mensual","C"
2405,220000,18,"Mensual","E"
2406,135000,12,"Mensual","F"
2407,250000,18,"Mensual","B"
2408,250000,18,"Catorcenal","F"
2409,150000,12,"Mensual","C"
2410,50000,12,"Semanal","F"
2411,160000,18,"Mensual","C"
2412,245000,12,"Mensual","E"
2413,140000,18,"Semanal","E"
2414,250000,18,"Mensual","E"
2415,180000,18,"Catorcenal","F"
2416,65000,12,"Mensual","E"
2417,120000,12,"Mensual","E"
2418,245000,6,"Mensual","B"
2419,85000,18,"Mensual","C"
2420,130000,18,"Mensual","E"
2421,205000,6,"Semanal","C"
2422,250000,18,"Semanal","E"
2423,250000,18,"Catorcenal","C"
2424,230000,18,"Mensual","F"
2425,210000,18,"Mensual","B"
2426,185000,12,"Catorcenal","E"
2427,155000,18,"Mensual","C"
2428,105000,6,"Mensual","C"
2429,210000,18,"Mensual","E"
2430,95000,18,"Mensual","D"
2431,50000,12,"Mensual","D"
2432,165000,18,"Mensual","F"
2433,250000,12,"Mensual","F"
2434,125000,18,"Semanal","B"
2435,140000,12,"Catorcenal","F"
2436,250000,18,"Semanal","B"
2437,105000,18,"Mensual","E"
2438,250000,18,"Mensual","D"
2439,225000,12,"Mensual","A"
2440,50000,12,"Mensual","C"
2441,250000,18,"Mensual","E"
2442,95000,18,"Semanal","F"
2443,250000,18,"Mensual","D"
2444,1e+05,18,"Mensual","E"
2445,175000,12,"Mensual","F"
2446,85000,18,"Mensual","E"
2447,140000,18,"Mensual","C"
2448,50000,18,"Mensual","E"
2449,60000,18,"Mensual","E"
2450,225000,18,"Mensual","E"
2451,250000,6,"Mensual","F"
2452,230000,6,"Mensual","C"
2453,215000,18,"Mensual","F"
2454,145000,12,"Semanal","F"
2455,175000,18,"Mensual","F"
2456,245000,18,"Mensual","A"
2457,240000,18,"Mensual","E"
2458,105000,18,"Mensual","D"
2459,175000,18,"Mensual","A"
2460,195000,18,"Mensual","B"
2461,50000,18,"Mensual","E"
2462,215000,18,"Semanal","E"
2463,250000,18,"Mensual","E"
2464,125000,12,"Mensual","F"
2465,125000,18,"Catorcenal","F"
2466,205000,18,"Mensual","A"
2467,220000,18,"Mensual","D"
2468,210000,18,"Semanal","E"
2469,190000,12,"Mensual","E"
2470,80000,18,"Mensual","F"
2471,195000,18,"Mensual","D"
2472,160000,12,"Mensual","F"
2473,95000,12,"Mensual","B"
2474,210000,18,"Semanal","D"
2475,185000,18,"Catorcenal","D"
2476,240000,18,"Mensual","D"
2477,185000,18,"Semanal","C"
2478,150000,18,"Mensual","C"
2479,70000,18,"Mensual","F"
2480,155000,12,"Mensual","E"
2481,105000,18,"Mensual","F"
2482,180000,18,"Mensual","D"
2483,210000,12,"Mensual","E"
2484,170000,6,"Mensual","E"
2485,55000,18,"Mensual","C"
2486,250000,12,"Mensual","E"
2487,50000,18,"Mensual","E"
2488,80000,18,"Mensual","C"
2489,160000,12,"Mensual","F"
2490,85000,12,"Mensual","E"
2491,70000,6,"Mensual","E"
2492,230000,6,"Mensual","E"
2493,160000,18,"Mensual","F"
2494,145000,18,"Mensual","D"
2495,70000,18,"Mensual","E"
2496,250000,12,"Mensual","F"
2497,175000,18,"Mensual","F"
2498,190000,12,"Mensual","F"
2499,250000,18,"Mensual","F"
2500,240000,18,"Mensual","E"
2501,205000,18,"Mensual","F"
2502,195000,12,"Mensual","D"
2503,215000,12,"Mensual","C"
2504,145000,12,"Mensual","D"
2505,180000,18,"Mensual","F"
2506,220000,18,"Mensual","B"
2507,230000,6,"Mensual","C"
2508,195000,12,"Mensual","C"
2509,190000,18,"Mensual","F"
2510,155000,18,"Mensual","B"
2511,1e+05,12,"Mensual","D"
2512,120000,18,"Mensual","D"
2513,250000,18,"Mensual","B"
2514,245000,18,"Mensual","D"
2515,250000,6,"Mensual","D"
2516,185000,18,"Mensual","C"
2517,125000,18,"Mensual","E"
2518,240000,18,"Semanal","F"
2519,250000,18,"Semanal","A"
2520,130000,18,"Mensual","B"
2521,250000,6,"Catorcenal","D"
2522,170000,18,"Mensual","D"
2523,230000,12,"Catorcenal","D"
2524,135000,18,"Mensual","F"
2525,250000,18,"Semanal","D"
2526,70000,18,"Catorcenal","D"
2527,85000,18,"Mensual","D"
2528,215000,18,"Catorcenal","B"
2529,210000,18,"Semanal","F"
2530,120000,12,"Catorcenal","E"
2531,225000,12,"Mensual","E"
2532,205000,12,"Semanal","D"
2533,160000,18,"Mensual","F"
2534,50000,18,"Mensual","D"
2535,250000,18,"Mensual","E"
2536,155000,12,"Mensual","C"
2537,190000,18,"Mensual","E"
2538,65000,18,"Mensual","E"
2539,195000,18,"Semanal","F"
2540,50000,18,"Catorcenal","E"
2541,250000,18,"Mensual","B"
2542,115000,12,"Mensual","B"
2543,120000,12,"Mensual","F"
2544,235000,12,"Mensual","C"
2545,250000,18,"Mensual","E"
2546,105000,18,"Semanal","E"
2547,250000,12,"Mensual","F"
2548,60000,12,"Semanal","D"
2549,95000,18,"Mensual","B"
2550,145000,6,"Catorcenal","F"
2551,230000,18,"Mensual","D"
2552,240000,12,"Semanal","F"
2553,155000,18,"Mensual","E"
2554,180000,18,"Mensual","D"
2555,1e+05,18,"Mensual","C"
2556,245000,6,"Semanal","D"
2557,165000,18,"Catorcenal","A"
2558,155000,6,"Mensual","B"
2559,180000,18,"Catorcenal","F"
2560,215000,18,"Mensual","C"
2561,150000,18,"Mensual","A"
2562,115000,6,"Mensual","E"
2563,250000,6,"Catorcenal","D"
2564,130000,6,"Mensual","F"
2565,110000,18,"Mensual","E"
2566,235000,18,"Catorcenal","C"
2567,110000,12,"Catorcenal","D"
2568,245000,18,"Mensual","D"
2569,180000,12,"Mensual","C"
2570,2e+05,18,"Mensual","D"
2571,250000,12,"Catorcenal","C"
2572,130000,18,"Semanal","D"
2573,195000,18,"Catorcenal","F"
2574,185000,6,"Catorcenal","A"
2575,105000,12,"Mensual","E"
2576,55000,18,"Mensual","D"
2577,205000,18,"Semanal","A"
2578,250000,18,"Mensual","B"
2579,110000,6,"Mensual","F"
2580,175000,12,"Catorcenal","E"
2581,140000,12,"Mensual","B"
2582,60000,18,"Semanal","D"
2583,250000,18,"Mensual","D"
2584,190000,18,"Mensual","F"
2585,165000,18,"Mensual","D"
2586,160000,18,"Semanal","E"
2587,115000,18,"Mensual","D"
2588,180000,18,"Mensual","E"
2589,220000,12,"Mensual","F"
2590,245000,12,"Mensual","D"
2591,215000,18,"Mensual","C"
2592,50000,18,"Mensual","F"
2593,140000,6,"Catorcenal","E"
2594,85000,18,"Mensual","D"
2595,1e+05,18,"Catorcenal","A"
2596,70000,18,"Mensual","D"
2597,125000,18,"Mensual","F"
2598,250000,18,"Mensual","E"
2599,165000,6,"Catorcenal","E"
2600,85000,18,"Mensual","A"
2601,160000,6,"Mensual","A"
2602,165000,18,"Semanal","E"
2603,250000,18,"Mensual","E"
2604,175000,12,"Mensual","C"
2605,60000,18,"Mensual","E"
2606,225000,12,"Mensual","E"
2607,250000,18,"Mensual","D"
2608,2e+05,6,"Mensual","B"
2609,250000,18,"Mensual","D"
2610,50000,18,"Mensual","D"
2611,130000,18,"Mensual","A"
2612,155000,12,"Semanal","C"
2613,250000,18,"Catorcenal","E"
2614,250000,18,"Semanal","D"
2615,135000,6,"Catorcenal","C"
2616,115000,6,"Mensual","E"
2617,85000,12,"Catorcenal","B"
2618,80000,12,"Catorcenal","A"
2619,60000,18,"Mensual","E"
2620,240000,6,"Mensual","C"
2621,160000,18,"Mensual","F"
2622,250000,12,"Catorcenal","A"
2623,250000,18,"Catorcenal","F"
2624,95000,18,"Semanal","C"
2625,90000,6,"Mensual","E"
2626,65000,18,"Mensual","B"
2627,215000,12,"Catorcenal","C"
2628,125000,6,"Mensual","A"
2629,195000,18,"Catorcenal","A"
2630,195000,18,"Mensual","D"
2631,140000,18,"Mensual","D"
2632,165000,18,"Catorcenal","E"
2633,115000,18,"Catorcenal","F"
2634,50000,18,"Mensual","C"
2635,1e+05,18,"Mensual","D"
2636,50000,18,"Mensual","C"
2637,230000,18,"Mensual","E"
2638,185000,12,"Semanal","C"
2639,120000,18,"Mensual","A"
2640,50000,18,"Mensual","C"
2641,115000,18,"Mensual","E"
2642,120000,12,"Mensual","C"
2643,115000,6,"Mensual","A"
2644,250000,18,"Semanal","D"
2645,185000,18,"Mensual","E"
2646,150000,12,"Catorcenal","E"
2647,180000,18,"Semanal","F"
2648,95000,12,"Mensual","D"
2649,1e+05,18,"Mensual","D"
2650,50000,18,"Mensual","D"
2651,215000,18,"Mensual","D"
2652,190000,18,"Mensual","F"
2653,1e+05,18,"Mensual","A"
2654,95000,12,"Mensual","D"
2655,235000,18,"Semanal","E"
2656,205000,18,"Mensual","E"
2657,105000,18,"Mensual","C"
2658,70000,18,"Catorcenal","E"
2659,120000,18,"Catorcenal","C"
2660,155000,12,"Catorcenal","E"
2661,225000,18,"Mensual","E"
2662,120000,18,"Mensual","C"
2663,50000,18,"Catorcenal","F"
2664,55000,6,"Semanal","D"
2665,2e+05,18,"Catorcenal","C"
2666,250000,12,"Mensual","C"
2667,50000,18,"Mensual","B"
2668,50000,18,"Mensual","A"
2669,250000,18,"Catorcenal","C"
2670,50000,12,"Mensual","D"
2671,250000,18,"Catorcenal","E"
2672,1e+05,18,"Mensual","D"
2673,80000,18,"Mensual","F"
2674,125000,6,"Mensual","F"
2675,230000,6,"Mensual","D"
2676,85000,12,"Mensual","F"
2677,155000,18,"Mensual","B"
2678,145000,6,"Semanal","F"
2679,160000,18,"Mensual","B"
2680,65000,12,"Semanal","E"
2681,105000,12,"Mensual","F"
2682,250000,18,"Mensual","B"
2683,150000,12,"Catorcenal","F"
2684,250000,18,"Mensual","D"
2685,75000,18,"Mensual","F"
2686,160000,18,"Catorcenal","D"
2687,65000,18,"Mensual","D"
2688,55000,18,"Mensual","E"
2689,50000,12,"Mensual","C"
2690,50000,18,"Mensual","B"
2691,65000,18,"Mensual","A"
2692,155000,18,"Mensual","E"
2693,250000,18,"Catorcenal","E"
2694,130000,18,"Semanal","D"
2695,140000,18,"Mensual","E"
2696,150000,12,"Catorcenal","D"
2697,240000,6,"Mensual","E"
2698,175000,18,"Mensual","F"
2699,105000,6,"Mensual","C"
2700,220000,18,"Mensual","E"
2701,250000,18,"Mensual","E"
2702,65000,12,"Semanal","E"
2703,165000,18,"Mensual","F"
2704,180000,18,"Mensual","C"
2705,195000,18,"Mensual","E"
2706,125000,18,"Mensual","F"
2707,165000,18,"Mensual","C"
2708,65000,6,"Catorcenal","C"
2709,250000,18,"Mensual","D"
2710,235000,18,"Mensual","D"
2711,145000,12,"Mensual","F"
2712,115000,12,"Catorcenal","D"
2713,250000,18,"Catorcenal","E"
2714,65000,18,"Semanal","E"
2715,215000,18,"Mensual","A"
2716,50000,18,"Mensual","E"
2717,75000,12,"Catorcenal","D"
2718,95000,6,"Catorcenal","E"
2719,205000,18,"Mensual","E"
2720,210000,6,"Mensual","E"
2721,180000,18,"Catorcenal","E"
2722,80000,18,"Mensual","C"
2723,145000,18,"Mensual","D"
2724,115000,12,"Mensual","C"
2725,250000,6,"Mensual","E"
2726,235000,18,"Mensual","F"
2727,155000,18,"Mensual","E"
2728,130000,18,"Semanal","D"
2729,95000,6,"Mensual","E"
2730,210000,12,"Semanal","C"
2731,80000,18,"Catorcenal","E"
2732,105000,12,"Mensual","E"
2733,50000,12,"Mensual","E"
2734,50000,18,"Semanal","D"
2735,205000,18,"Mensual","E"
2736,250000,18,"Mensual","C"
2737,50000,18,"Semanal","D"
2738,240000,18,"Mensual","E"
2739,125000,18,"Mensual","F"
2740,90000,6,"Catorcenal","C"
2741,180000,18,"Mensual","E"
2742,185000,18,"Mensual","D"
2743,95000,12,"Mensual","F"
2744,145000,18,"Mensual","E"
2745,170000,6,"Mensual","C"
2746,220000,12,"Semanal","E"
2747,85000,18,"Mensual","D"
2748,95000,18,"Semanal","F"
2749,115000,18,"Mensual","E"
2750,135000,6,"Mensual","A"
2751,130000,18,"Mensual","E"
2752,170000,18,"Semanal","D"
2753,2e+05,18,"Catorcenal","C"
2754,50000,18,"Mensual","F"
2755,50000,12,"Mensual","D"
2756,2e+05,12,"Mensual","A"
2757,155000,18,"Mensual","E"
2758,245000,18,"Mensual","E"
2759,70000,18,"Mensual","A"
2760,245000,18,"Mensual","F"
2761,180000,18,"Mensual","E"
2762,130000,12,"Semanal","D"
2763,240000,12,"Mensual","C"
2764,150000,6,"Mensual","B"
2765,250000,18,"Mensual","C"
2766,140000,12,"Mensual","E"
2767,120000,18,"Mensual","F"
2768,105000,18,"Catorcenal","B"
2769,165000,12,"Semanal","D"
2770,60000,6,"Semanal","E"
2771,145000,12,"Semanal","D"
2772,215000,18,"Mensual","D"
2773,50000,18,"Mensual","F"
2774,50000,18,"Mensual","F"
2775,210000,18,"Mensual","D"
2776,245000,18,"Mensual","E"
2777,130000,18,"Mensual","F"
2778,95000,12,"Mensual","B"
2779,120000,18,"Mensual","D"
2780,170000,18,"Mensual","E"
2781,95000,18,"Semanal","C"
2782,230000,18,"Catorcenal","D"
2783,250000,6,"Catorcenal","C"
2784,250000,18,"Mensual","A"
2785,235000,18,"Catorcenal","E"
2786,125000,6,"Mensual","D"
2787,50000,12,"Mensual","B"
2788,75000,18,"Mensual","F"
2789,1e+05,18,"Semanal","E"
2790,250000,18,"Mensual","D"
2791,195000,6,"Mensual","D"
2792,125000,18,"Mensual","E"
2793,170000,18,"Mensual","B"
2794,185000,6,"Mensual","F"
2795,60000,18,"Mensual","A"
2796,90000,12,"Catorcenal","F"
2797,1e+05,12,"Mensual","F"
2798,115000,6,"Catorcenal","F"
2799,205000,18,"Semanal","E"
2800,95000,12,"Catorcenal","C"
2801,50000,18,"Mensual","E"
2802,135000,18,"Mensual","B"
2803,240000,18,"Catorcenal","E"
2804,95000,18,"Mensual","E"
2805,130000,12,"Mensual","F"
2806,250000,6,"Mensual","F"
2807,250000,18,"Mensual","E"
2808,180000,18,"Mensual","C"
2809,50000,18,"Mensual","B"
2810,120000,18,"Catorcenal","F"
2811,230000,18,"Catorcenal","C"
2812,65000,18,"Mensual","B"
2813,80000,12,"Mensual","F"
2814,125000,18,"Mensual","D"
2815,185000,18,"Mensual","E"
2816,140000,6,"Catorcenal","F"
2817,70000,18,"Mensual","B"
2818,150000,18,"Mensual","D"
2819,175000,6,"Mensual","D"
2820,195000,18,"Catorcenal","B"
2821,130000,18,"Mensual","E"
2822,125000,12,"Catorcenal","B"
2823,230000,18,"Mensual","E"
2824,85000,6,"Catorcenal","F"
2825,50000,12,"Catorcenal","F"
2826,165000,12,"Mensual","B"
2827,250000,6,"Mensual","C"
2828,250000,18,"Mensual","E"
2829,240000,18,"Mensual","F"
2830,110000,18,"Mensual","D"
2831,245000,12,"Mensual","D"
2832,60000,18,"Mensual","B"
2833,170000,6,"Mensual","E"
2834,195000,18,"Mensual","F"
2835,220000,18,"Mensual","E"
2836,250000,18,"Mensual","A"
2837,90000,18,"Catorcenal","E"
2838,180000,18,"Mensual","C"
2839,160000,18,"Mensual","E"
2840,2e+05,18,"Mensual","E"
2841,250000,18,"Catorcenal","B"
2842,245000,6,"Mensual","F"
2843,65000,18,"Mensual","F"
2844,180000,6,"Mensual","E"
2845,250000,6,"Mensual","C"
2846,250000,12,"Mensual","B"
2847,90000,18,"Mensual","C"
2848,50000,6,"Semanal","E"
2849,50000,6,"Semanal","F"
2850,50000,18,"Catorcenal","C"
2851,250000,12,"Catorcenal","E"
2852,135000,12,"Mensual","D"
2853,190000,18,"Mensual","A"
2854,55000,18,"Semanal","F"
2855,220000,18,"Mensual","C"
2856,50000,18,"Mensual","D"
2857,160000,18,"Catorcenal","C"
2858,150000,12,"Mensual","E"
2859,50000,18,"Catorcenal","C"
2860,250000,18,"Mensual","D"
2861,155000,18,"Mensual","C"
2862,250000,18,"Mensual","F"
2863,55000,18,"Mensual","A"
2864,140000,18,"Mensual","F"
2865,95000,18,"Semanal","B"
2866,180000,18,"Mensual","F"
2867,50000,18,"Mensual","F"
2868,105000,18,"Mensual","E"
2869,140000,18,"Semanal","B"
2870,1e+05,6,"Catorcenal","E"
2871,250000,6,"Mensual","E"
2872,180000,6,"Mensual","A"
2873,95000,18,"Mensual","B"
2874,50000,12,"Mensual","D"
2875,175000,6,"Catorcenal","C"
2876,225000,18,"Mensual","C"
2877,215000,12,"Mensual","C"
2878,230000,12,"Semanal","D"
2879,190000,18,"Mensual","C"
2880,210000,18,"Mensual","E"
2881,135000,12,"Mensual","F"
2882,2e+05,6,"Mensual","B"
2883,175000,18,"Mensual","C"
2884,250000,18,"Mensual","C"
2885,175000,18,"Semanal","D"
2886,50000,18,"Mensual","C"
2887,220000,18,"Semanal","F"
2888,50000,18,"Mensual","E"
2889,175000,18,"Mensual","E"
2890,75000,18,"Mensual","C"
2891,145000,18,"Semanal","C"
2892,160000,18,"Catorcenal","F"
2893,115000,18,"Mensual","C"
2894,145000,18,"Mensual","C"
2895,95000,18,"Mensual","C"
2896,160000,12,"Mensual","D"
2897,245000,18,"Mensual","F"
2898,135000,6,"Mensual","D"
2899,250000,18,"Mensual","B"
2900,150000,12,"Semanal","E"
2901,195000,18,"Mensual","E"
2902,95000,18,"Catorcenal","F"
2903,125000,18,"Mensual","C"
2904,80000,18,"Mensual","D"
2905,2e+05,12,"Mensual","E"
2906,125000,18,"Mensual","F"
2907,90000,18,"Mensual","C"
2908,2e+05,18,"Mensual","E"
2909,65000,18,"Mensual","F"
2910,165000,18,"Mensual","B"
2911,250000,12,"Mensual","F"
2912,90000,6,"Semanal","C"
2913,70000,18,"Mensual","B"
2914,80000,18,"Semanal","F"
2915,220000,12,"Mensual","C"
2916,175000,12,"Semanal","C"
2917,165000,6,"Mensual","D"
2918,50000,18,"Catorcenal","C"
2919,130000,12,"Mensual","C"
2920,95000,6,"Mensual","A"
2921,170000,18,"Mensual","F"
2922,50000,18,"Catorcenal","C"
2923,250000,18,"Mensual","F"
2924,170000,18,"Mensual","E"
2925,155000,18,"Mensual","E"
2926,115000,18,"Semanal","E"
2927,235000,18,"Mensual","D"
2928,235000,18,"Mensual","D"
2929,125000,6,"Catorcenal","F"
2930,250000,18,"Catorcenal","D"
2931,130000,18,"Mensual","F"
2932,250000,6,"Mensual","C"
2933,135000,18,"Mensual","E"
2934,250000,12,"Semanal","F"
2935,220000,18,"Mensual","E"
2936,230000,18,"Mensual","F"
2937,80000,18,"Mensual","E"
2938,50000,12,"Mensual","E"
2939,220000,6,"Mensual","B"
2940,205000,18,"Mensual","B"
2941,170000,12,"Catorcenal","E"
2942,70000,18,"Semanal","A"
2943,250000,12,"Mensual","E"
2944,230000,18,"Semanal","E"
2945,230000,18,"Mensual","D"
2946,195000,18,"Mensual","F"
2947,185000,18,"Semanal","A"
2948,145000,18,"Mensual","A"
2949,155000,12,"Mensual","E"
2950,250000,18,"Mensual","E"
2951,240000,18,"Mensual","D"
2952,250000,6,"Mensual","D"
2953,250000,12,"Mensual","D"
2954,190000,18,"Mensual","C"
2955,145000,12,"Mensual","A"
2956,135000,18,"Mensual","D"
2957,235000,12,"Mensual","D"
2958,240000,18,"Mensual","C"
2959,220000,18,"Mensual","D"
2960,120000,18,"Semanal","E"
2961,70000,18,"Mensual","E"
2962,135000,12,"Catorcenal","D"
2963,170000,18,"Mensual","C"
2964,180000,18,"Mensual","E"
2965,170000,12,"Mensual","C"
2966,185000,6,"Catorcenal","D"
2967,2e+05,6,"Mensual","E"
2968,175000,18,"Mensual","A"
2969,115000,12,"Mensual","C"
2970,125000,18,"Catorcenal","D"
2971,150000,18,"Mensual","C"
2972,130000,18,"Mensual","B"
2973,250000,6,"Mensual","C"
2974,160000,18,"Mensual","E"
2975,120000,18,"Catorcenal","C"
2976,185000,18,"Catorcenal","D"
2977,225000,18,"Mensual","E"
2978,60000,18,"Catorcenal","D"
2979,145000,18,"Mensual","B"
2980,75000,18,"Mensual","F"
2981,70000,18,"Mensual","E"
2982,155000,18,"Mensual","D"
2983,250000,18,"Mensual","F"
2984,245000,18,"Mensual","A"
2985,50000,18,"Mensual","D"
2986,50000,18,"Catorcenal","C"
2987,220000,18,"Semanal","F"
2988,120000,12,"Mensual","D"
2989,235000,18,"Semanal","A"
2990,250000,12,"Mensual","E"
2991,105000,18,"Mensual","A"
2992,155000,18,"Mensual","E"
2993,65000,6,"Catorcenal","B"
2994,75000,6,"Mensual","E"
2995,250000,18,"Semanal","B"
2996,50000,6,"Mensual","E"
2997,130000,18,"Mensual","F"
2998,50000,18,"Mensual","E"
2999,210000,18,"Semanal","C"
3000,80000,18,"Semanal","C"
3001,245000,12,"Mensual","F"
3002,250000,18,"Catorcenal","A"
3003,2e+05,18,"Mensual","D"
3004,110000,6,"Mensual","D"
3005,95000,18,"Mensual","D"
3006,225000,18,"Mensual","F"
3007,250000,18,"Catorcenal","A"
3008,145000,18,"Mensual","E"
3009,90000,18,"Mensual","E"
3010,90000,6,"Mensual","A"
3011,75000,12,"Mensual","F"
3012,155000,12,"Mensual","C"
3013,175000,12,"Mensual","C"
3014,170000,6,"Mensual","E"
3015,160000,12,"Mensual","E"
3016,155000,12,"Mensual","C"
3017,250000,12,"Mensual","D"
3018,240000,12,"Catorcenal","E"
3019,135000,6,"Mensual","F"
3020,165000,18,"Mensual","F"
3021,145000,12,"Mensual","C"
3022,215000,18,"Catorcenal","F"
3023,150000,6,"Mensual","E"
3024,220000,18,"Mensual","E"
3025,2e+05,18,"Mensual","D"
3026,125000,6,"Catorcenal","F"
3027,140000,18,"Mensual","F"
3028,210000,12,"Mensual","E"
3029,205000,18,"Mensual","A"
3030,125000,6,"Mensual","C"
3031,235000,18,"Mensual","F"
3032,165000,18,"Mensual","D"
3033,250000,6,"Catorcenal","F"
3034,145000,18,"Mensual","E"
3035,1e+05,18,"Mensual","C"
3036,215000,18,"Mensual","E"
3037,135000,18,"Catorcenal","C"
3038,250000,12,"Semanal","D"
3039,55000,18,"Mensual","D"
3040,105000,18,"Mensual","D"
3041,95000,12,"Mensual","F"
3042,115000,12,"Mensual","C"
3043,245000,12,"Mensual","E"
3044,155000,18,"Mensual","A"
3045,240000,18,"Mensual","C"
3046,250000,18,"Mensual","F"
3047,185000,6,"Mensual","D"
3048,210000,18,"Mensual","C"
3049,75000,18,"Mensual","D"
3050,235000,18,"Mensual","C"
3051,150000,12,"Semanal","D"
3052,170000,6,"Semanal","A"
3053,85000,6,"Mensual","E"
3054,175000,18,"Mensual","E"
3055,160000,6,"Mensual","D"
3056,185000,12,"Mensual","D"
3057,150000,6,"Semanal","D"
3058,125000,12,"Semanal","D"
3059,120000,18,"Mensual","F"
3060,145000,18,"Semanal","C"
3061,70000,18,"Mensual","A"
3062,115000,12,"Mensual","D"
3063,90000,18,"Semanal","D"
3064,175000,12,"Mensual","F"
3065,205000,18,"Mensual","F"
3066,185000,18,"Semanal","E"
3067,250000,18,"Mensual","F"
3068,210000,18,"Mensual","E"
3069,210000,18,"Mensual","D"
3070,145000,18,"Mensual","A"
3071,185000,18,"Mensual","E"
3072,180000,18,"Catorcenal","D"
3073,2e+05,6,"Catorcenal","F"
3074,195000,18,"Mensual","F"
3075,50000,18,"Catorcenal","C"
3076,205000,18,"Mensual","F"
3077,210000,18,"Mensual","B"
3078,85000,18,"Mensual","E"
3079,145000,6,"Catorcenal","F"
3080,205000,18,"Mensual","F"
3081,110000,18,"Mensual","E"
3082,150000,12,"Catorcenal","C"
3083,240000,18,"Mensual","F"
3084,250000,18,"Mensual","D"
3085,185000,18,"Catorcenal","E"
3086,235000,12,"Semanal","D"
3087,110000,18,"Semanal","C"
3088,235000,6,"Mensual","F"
3089,250000,18,"Mensual","F"
3090,235000,18,"Mensual","B"
3091,115000,18,"Mensual","E"
3092,195000,12,"Mensual","E"
3093,2e+05,6,"Mensual","C"
3094,130000,18,"Catorcenal","C"
3095,130000,12,"Semanal","D"
3096,160000,12,"Mensual","E"
3097,105000,12,"Mensual","D"
3098,190000,6,"Semanal","D"
3099,115000,6,"Mensual","E"
3100,120000,6,"Catorcenal","A"
3101,2e+05,18,"Mensual","D"
3102,250000,6,"Catorcenal","A"
3103,160000,18,"Mensual","E"
3104,190000,6,"Mensual","B"
3105,220000,12,"Catorcenal","E"
3106,185000,18,"Mensual","A"
3107,170000,12,"Mensual","D"
3108,125000,18,"Mensual","F"
3109,165000,12,"Mensual","E"
3110,215000,18,"Mensual","F"
3111,95000,12,"Mensual","A"
3112,165000,18,"Semanal","C"
3113,2e+05,18,"Catorcenal","E"
3114,125000,12,"Catorcenal","E"
3115,60000,12,"Mensual","A"
3116,135000,18,"Semanal","E"
3117,90000,18,"Mensual","D"
3118,65000,6,"Mensual","E"
3119,250000,12,"Catorcenal","E"
3120,75000,18,"Mensual","F"
3121,125000,18,"Mensual","C"
3122,225000,18,"Mensual","D"
3123,135000,18,"Mensual","E"
3124,115000,6,"Mensual","E"
3125,175000,6,"Mensual","C"
3126,70000,12,"Mensual","C"
3127,250000,18,"Mensual","D"
3128,240000,12,"Catorcenal","D"
3129,240000,18,"Mensual","C"
3130,165000,6,"Mensual","E"
3131,225000,18,"Catorcenal","D"
3132,90000,18,"Mensual","D"
3133,160000,18,"Mensual","E"
3134,135000,18,"Mensual","E"
3135,175000,18,"Mensual","E"
3136,165000,12,"Mensual","F"
3137,250000,12,"Mensual","C"
3138,170000,18,"Mensual","D"
3139,250000,12,"Mensual","A"
3140,150000,18,"Semanal","C"
3141,215000,6,"Mensual","F"
3142,250000,18,"Mensual","E"
3143,180000,6,"Catorcenal","A"
3144,250000,6,"Mensual","D"
3145,70000,18,"Semanal","E"
3146,130000,18,"Mensual","E"
3147,75000,18,"Semanal","D"
3148,50000,12,"Mensual","B"
3149,105000,12,"Catorcenal","E"
3150,135000,12,"Mensual","F"
3151,185000,6,"Catorcenal","E"
3152,185000,18,"Mensual","C"
3153,245000,12,"Semanal","E"
3154,245000,18,"Mensual","C"
3155,250000,18,"Mensual","A"
3156,220000,18,"Mensual","E"
3157,70000,18,"Semanal","E"
3158,150000,18,"Mensual","D"
3159,145000,18,"Catorcenal","D"
3160,50000,18,"Mensual","C"
3161,250000,18,"Mensual","E"
3162,170000,12,"Mensual","F"
3163,175000,18,"Catorcenal","E"
3164,250000,18,"Mensual","E"
3165,175000,18,"Catorcenal","D"
3166,170000,18,"Mensual","F"
3167,185000,6,"Catorcenal","B"
3168,150000,18,"Mensual","F"
3169,135000,6,"Semanal","D"
3170,50000,18,"Semanal","A"
3171,245000,12,"Mensual","B"
3172,60000,6,"Catorcenal","F"
3173,150000,18,"Catorcenal","D"
3174,120000,18,"Mensual","F"
3175,195000,18,"Mensual","D"
3176,80000,18,"Mensual","C"
3177,250000,18,"Mensual","A"
3178,240000,12,"Catorcenal","E"
3179,145000,12,"Catorcenal","C"
3180,120000,12,"Mensual","E"
3181,160000,12,"Mensual","E"
3182,50000,12,"Mensual","C"
3183,75000,18,"Mensual","D"
3184,85000,12,"Catorcenal","E"
3185,185000,18,"Mensual","E"
3186,90000,12,"Catorcenal","E"
3187,195000,12,"Semanal","B"
3188,185000,18,"Mensual","B"
3189,135000,18,"Mensual","E"
3190,70000,6,"Mensual","D"
3191,2e+05,18,"Mensual","F"
3192,250000,18,"Mensual","F"
3193,1e+05,12,"Mensual","A"
3194,120000,6,"Catorcenal","F"
3195,175000,18,"Mensual","C"
3196,135000,18,"Mensual","E"
3197,250000,18,"Catorcenal","E"
3198,150000,12,"Mensual","B"
3199,75000,18,"Semanal","E"
3200,195000,12,"Mensual","A"
3201,250000,18,"Mensual","C"
3202,250000,18,"Mensual","C"
3203,90000,12,"Catorcenal","D"
3204,195000,6,"Mensual","F"
3205,80000,12,"Mensual","E"
3206,55000,18,"Mensual","A"
